"Ticker","Average_Daily_Return","Total_Cumulative_Return"
"TSLA",0.27661352684694,974.446786090622
"NVDA",0.199255149916483,500.063441712926
"AAPL",0.128075199944568,279.387842465753
"MSFT",0.114735913146718,232.244030756779
"TSM",0.0996209289164914,154.754521963824
"GOOGL",0.084103140985674,123.4
"QQQ",0.0705002418382985,104.615746457341
"V",0.0585081343582824,69.0865973072216
"BRK-B",0.0512139037872342,67.6395342766146
"SPY",0.0436307599479913,54.2223370487931
"AMZN",0.0573293481875562,47.987236131566
"META",0.0662229441377264,38.03316299927
